"[17.255202603037468, 1002.5847685629409]",[17.381471108060225],"[-0.012, 0.188, 1.044]"
"[17.261532184928363, 1002.574605265192]",[17.381471108060225],"[-0.012, 0.192, 1.036]"
"[17.26279810021515, 1002.5564458478118]",[17.381471108060225],"[-0.012, 0.188, 1.048]"
"[17.27292540941271, 1002.5784906141322]",[17.381471108060225],"[-0.008, 0.184, 1.04]"
"[17.27102654071168, 1002.5655609207616]",[17.381471108060225],"[0.0, 0.184, 1.04]"
"[17.274824277295192, 1002.5914203787784]",[17.381471108060225],"[-0.008, 0.18, 1.04]"
"[17.272292453269984, 1002.5609883606564]",[17.381471108060225],"[-0.012, 0.188, 1.036]"
"[17.281786785861186, 1002.6017854924721]",[17.301061636530562],"[-0.012, 0.184, 1.036]"
"[17.2760901887621, 1002.5765833169146]",[17.381471108060225],"[-0.016, 0.188, 1.04]"
"[17.279887920980038, 1002.559246485545]",[17.381471108060225],"[-0.008, 0.184, 1.044]"
"[17.280520876031368, 1002.5667805034146]",[17.381471108060225],"[-0.008, 0.188, 1.052]"
"[17.28115383099175, 1002.6042198688903]",[17.381471108060225],"[-0.016, 0.196, 1.044]"
"[17.28241974063967, 1002.5694457260691]",[17.381471108060225],"[-0.008, 0.184, 1.044]"
"[17.289382237200336, 1002.573460928517]",[17.381471108060225],"[-0.004, 0.18, 1.032]"
"[17.284951558844114, 1002.5832639967243]",[17.381471108060225],"[-0.012, 0.184, 1.044]"
"[17.290015190887424, 1002.5843179153912]",[17.381471108060225],"[-0.012, 0.188, 1.044]"
"[17.292547004726295, 1002.6014592200486]",[17.381471108060225],"[-0.012, 0.18, 1.04]"
"[17.288749283422295, 1002.555958260703]",[17.381471108060225],"[-0.012, 0.188, 1.06]"
"[17.288116329553304, 1002.5750069695796]",[17.381471108060225],"[-0.008, 0.184, 1.044]"
"[17.28621746740064, 1002.6152425633803]",[17.381471108060225],"[-0.004, 0.176, 1.044]"
"[17.290648144483566, 1002.5821796037117]",[17.381471108060225],"[-0.016, 0.188, 1.044]"
"[17.290648144483566, 1002.6054396685296]",[17.381471108060225],"[-0.008, 0.188, 1.044]"
"[17.290648144483566, 1002.5788567388296]",[17.381471108060225],"[-0.016, 0.184, 1.04]"
"[17.289382237200336, 1002.5834295005432]",[17.381471108060225],"[-0.012, 0.188, 1.052]"
"[17.290648144483566, 1002.6087625364526]",[17.381471108060225],"[-0.008, 0.184, 1.048]"
"[17.288749283422295, 1002.5692496703033]",[17.461864946393803],"[-0.004, 0.184, 1.044]"
"[17.29507881710997, 1002.6019861920622]",[17.381471108060225],"[-0.008, 0.188, 1.048]"
"[17.29507881710997, 1002.6186006482624]",[17.381471108060225],"[-0.016, 0.184, 1.04]"
"[17.28621746740064, 1002.5687227726003]",[17.381471108060225],"[-0.012, 0.184, 1.028]"
